x,y,z
0.474951,0.411566,-0.449564
0.480277,0.414242,-0.447271
0.482525,0.415739,-0.446478
0.481576,0.415539,-0.446734
0.482816,0.4142,-0.445928
0.487145,0.410436,-0.444464
0.495076,0.401527,-0.443694
0.509182,0.390307,-0.439896
0.530154,0.381253,-0.43495
0.552165,0.370996,-0.435885
0.567882,0.363717,-0.436289
0.576356,0.357036,-0.433298
0.579221,0.349491,-0.429704
0.576951,0.338055,-0.425667
0.571174,0.322996,-0.421169
0.565164,0.30391,-0.416746
0.555345,0.279286,-0.410302
0.539104,0.25132,-0.404226
0.535214,0.246075,-0.403647
0.535214,0.246075,-0.403647
0.535214,0.246075,-0.403647
0.535214,0.246075,-0.403647
0.535214,0.246075,-0.403647
0.535214,0.246075,-0.403647
0.535214,0.246075,-0.403647
0.535214,0.246075,-0.403647
0.535214,0.246075,-0.403647
0.535214,0.246075,-0.403647
0.53108,0.24138,-0.403192
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.516774,0.228436,-0.401927
0.509173,0.215824,-0.405361
0.488817,0.174276,-0.414109
0.470083,0.134067,-0.421123
0.453371,0.096963,-0.429232
0.439616,0.054276,-0.443849
0.433134,0.009515,-0.462598
0.434763,-0.038258,-0.481823
0.44591,-0.088621,-0.495572
0.463901,-0.134985,-0.504008
0.488811,-0.17971,-0.508429
0.518201,-0.216129,-0.511462
0.549358,-0.242621,-0.513697
0.58241,-0.260287,-0.511872
0.618764,-0.273881,-0.509469
0.65798,-0.282162,-0.50617
0.700069,-0.283804,-0.504693
0.748956,-0.275448,-0.504446
0.798914,-0.253377,-0.503666
0.846623,-0.220773,-0.507193
0.892589,-0.188494,-0.51567
0.942438,-0.151264,-0.527327
0.988402,-0.111776,-0.546607
1.032086,-0.068228,-0.572211
1.072242,-0.024171,-0.608264
1.108611,0.022811,-0.649841
1.135748,0.066489,-0.685902
1.15081,0.10611,-0.709755
1.15756,0.141303,-0.719257
1.158022,0.166176,-0.718343
1.155519,0.189659,-0.720879
1.151863,0.208654,-0.724416
1.145148,0.220682,-0.727899
1.137463,0.232569,-0.732602
1.1298,0.235128,-0.73726
1.121772,0.237074,-0.740048
1.117029,0.237454,-0.740171
1.114124,0.24001,-0.739011
1.112771,0.242521,-0.73834
1.111556,0.244659,-0.738205
